a,b,rho,xu,zu,N_front,k_spring,dz_max,dx_max,Cq_min,MR_min,MR_max,stroke_needed,F_shock_max,h_cap_rigid,h_cap_soft,feasible,failed
110.0,66.0,0.9,-40.0,60.0,34.3,4.95,86.1,-16.7,0.676,0.554,0.568,48.1,238.2,32.5,45.0,False,Cq 0.68;stroke 48
110.0,66.0,0.9,-20.0,20.0,34.3,24.11,86.1,-16.7,0.676,0.161,0.257,18.0,433.3,32.5,45.0,False,Cq 0.68
110.0,66.0,0.9,-20.0,40.0,34.3,11.73,86.1,-16.7,0.676,0.343,0.369,30.4,357.2,32.5,45.0,False,Cq 0.68
110.0,66.0,0.9,-20.0,60.0,34.3,7.78,86.1,-16.7,0.676,0.452,0.497,40.2,313.2,32.5,45.0,False,Cq 0.68;stroke 40
110.0,66.0,0.9,0.0,20.0,34.3,79.25,86.1,-16.7,0.676,0.142,0.158,12.9,1020.0,32.5,45.0,False,Cq 0.68;MR range;F_shock 1020
110.0,66.0,0.9,0.0,40.0,34.3,24.21,86.1,-16.7,0.676,0.257,0.31,24.2,585.7,32.5,45.0,False,Cq 0.68
110.0,66.0,0.9,0.0,60.0,34.3,13.15,86.1,-16.7,0.676,0.348,0.445,33.6,442.5,32.5,45.0,False,Cq 0.68
110.0,88.0,0.5,-40.0,20.0,34.3,9.62,91.3,-30.8,0.768,0.268,0.396,30.2,290.5,32.5,45.0,False,Cq 0.77;shock min len
110.0,88.0,0.5,-40.0,40.0,34.3,8.45,91.3,-30.8,0.768,0.392,0.422,36.4,307.5,32.5,45.0,False,Cq 0.77
110.0,88.0,0.5,-40.0,60.0,34.3,7.85,91.3,-30.8,0.768,0.423,0.449,39.3,308.3,32.5,45.0,False,Cq 0.77
110.0,88.0,0.5,-20.0,20.0,34.3,24.71,91.3,-30.8,0.768,0.182,0.247,19.3,476.7,32.5,45.0,False,Cq 0.77
